uri,album,artist_uri,artist,track,url,popularity,added_at,release_date,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,genre score,Liked
spotify:track:6EwbFB8T0uIaaRCNwAIrnS,When You Lie Next To Me,5I83RQZnnynCnohkLJ8vot,Kellie Coffey,When You Lie Next To Me,https://open.spotify.com/track/6EwbFB8T0uIaaRCNwAIrnS,36,2020-03-31T16:37:07Z,2002-05-06,2002,0.312,0.404,5,-10.014,1,0.0293,0.184,0.0,0.306,0.115,138.425,audio_features,6EwbFB8T0uIaaRCNwAIrnS,https://api.spotify.com/v1/tracks/6EwbFB8T0uIaaRCNwAIrnS,https://api.spotify.com/v1/audio-analysis/6EwbFB8T0uIaaRCNwAIrnS,239827,4,-38.0,0
spotify:track:3FoozOVAViraoaiCQpjE2U,The Pearl,3uOCouLFR4bVx0XeiQJSbl,Harold Budd,Their Memories - 2005 Digital Remaster,https://open.spotify.com/track/3FoozOVAViraoaiCQpjE2U,36,2020-05-07T20:06:47Z,1984,1984,0.116,0.0844,7,-30.308,1,0.0375,0.98,0.937,0.104,0.0434,76.834,audio_features,3FoozOVAViraoaiCQpjE2U,https://api.spotify.com/v1/tracks/3FoozOVAViraoaiCQpjE2U,https://api.spotify.com/v1/audio-analysis/3FoozOVAViraoaiCQpjE2U,177600,4,-39.0,0
spotify:track:4Mt82f1x76cieBiHaCLQxi,The Pursuit Begins When This Portrayal Of Life Ends,6pDRa5fS3myWSP0fpIUcNl,Evans Blue,In A Red Dress And Alone,https://open.spotify.com/track/4Mt82f1x76cieBiHaCLQxi,32,2020-04-02T17:44:29Z,2007-01-01,2007,0.342,0.893,5,-4.413,1,0.0877,0.00014,0.0439,0.378,0.467,178.116,audio_features,4Mt82f1x76cieBiHaCLQxi,https://api.spotify.com/v1/tracks/4Mt82f1x76cieBiHaCLQxi,https://api.spotify.com/v1/audio-analysis/4Mt82f1x76cieBiHaCLQxi,189533,4,-40.0,0
spotify:track:5U7vahMkL41gueMDNtoLhp,The Hours (Music from the Motion Picture Soundtrack),69lxxQvsfAIoQbB20bEPFC,Philip Glass,Morning Passages,https://open.spotify.com/track/5U7vahMkL41gueMDNtoLhp,44,2020-04-27T13:54:27Z,2002-12-05,2002,0.244,0.107,3,-22.906,1,0.0348,0.979,0.869,0.159,0.0325,106.323,audio_features,5U7vahMkL41gueMDNtoLhp,https://api.spotify.com/v1/tracks/5U7vahMkL41gueMDNtoLhp,https://api.spotify.com/v1/audio-analysis/5U7vahMkL41gueMDNtoLhp,333733,4,-41.0,0
spotify:track:00cAz18F7uLKFwls8OrhNo,The Dirty Rotten CD,6eKzDvHhJgMtcaOrvEXCTv,D.R.I.,Closet Punk,https://open.spotify.com/track/00cAz18F7uLKFwls8OrhNo,11,2020-04-02T16:14:35Z,2007-01-09,2007,0.455,0.988,3,-3.075,0,0.122,0.0128,0.983,0.359,0.484,98.85,audio_features,00cAz18F7uLKFwls8OrhNo,https://api.spotify.com/v1/tracks/00cAz18F7uLKFwls8OrhNo,https://api.spotify.com/v1/audio-analysis/00cAz18F7uLKFwls8OrhNo,31560,4,-41.0,0
spotify:track:07D0uxnz1CXiSNOZEG1sKh,Beast Epic,4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,Song in Stone,https://open.spotify.com/track/07D0uxnz1CXiSNOZEG1sKh,41,2020-03-09T11:37:37Z,2017-08-25,2017,0.372,0.48,5,-10.12,1,0.028,0.725,0.000621,0.108,0.51,147.501,audio_features,07D0uxnz1CXiSNOZEG1sKh,https://api.spotify.com/v1/tracks/07D0uxnz1CXiSNOZEG1sKh,https://api.spotify.com/v1/audio-analysis/07D0uxnz1CXiSNOZEG1sKh,201307,3,-42.0,0
spotify:track:6gjMja0oP8HJOPAloyn78q,Wagonwheel Blues,6g0mn3tzAds6aVeUYRsryU,The War On Drugs,Taking The Farm,https://open.spotify.com/track/6gjMja0oP8HJOPAloyn78q,41,2020-03-23T14:32:47Z,2008-06-17,2008,0.412,0.977,0,-6.938,1,0.0574,0.00554,0.234,0.144,0.416,97.578,audio_features,6gjMja0oP8HJOPAloyn78q,https://api.spotify.com/v1/tracks/6gjMja0oP8HJOPAloyn78q,https://api.spotify.com/v1/audio-analysis/6gjMja0oP8HJOPAloyn78q,240373,4,-42.0,0
spotify:track:1ZEoYuekZQo62DLFtPVdqT,Scream Aim Fire,7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine,Waking the Demon,https://open.spotify.com/track/1ZEoYuekZQo62DLFtPVdqT,52,2020-04-29T13:58:24Z,2008-01-28,2008,0.306,0.995,2,-3.203,1,0.1,2.98e-05,0.00859,0.254,0.135,127.908,audio_features,1ZEoYuekZQo62DLFtPVdqT,https://api.spotify.com/v1/tracks/1ZEoYuekZQo62DLFtPVdqT,https://api.spotify.com/v1/audio-analysis/1ZEoYuekZQo62DLFtPVdqT,247693,4,-43.0,0
spotify:track:0CkFjUoFjzO1JbDr5xP7iM,Vice & Connect presents 4 Ways to Rock,5DZBnxCYzs32O2bbqK8KNg,Les Savy Fav,Rome,https://open.spotify.com/track/0CkFjUoFjzO1JbDr5xP7iM,1,2020-06-12T19:49:30Z,2005-10-25,2005,0.334,0.683,0,-9.139,1,0.0458,0.000568,0.201,0.142,0.498,148.331,audio_features,0CkFjUoFjzO1JbDr5xP7iM,https://api.spotify.com/v1/tracks/0CkFjUoFjzO1JbDr5xP7iM,https://api.spotify.com/v1/audio-analysis/0CkFjUoFjzO1JbDr5xP7iM,204347,4,-44.0,0
spotify:track:1bPqAXwNiVcM6zjJU1Z4Cd,What's Left Of Me,6ewMqjrF31lC8ywRsvm073,Nick Lachey,What's Left Of Me,https://open.spotify.com/track/1bPqAXwNiVcM6zjJU1Z4Cd,49,2020-04-01T13:59:21Z,2006-01-01,2006,0.421,0.728,7,-5.644,1,0.035,0.136,0.0,0.136,0.311,150.12,audio_features,1bPqAXwNiVcM6zjJU1Z4Cd,https://api.spotify.com/v1/tracks/1bPqAXwNiVcM6zjJU1Z4Cd,https://api.spotify.com/v1/audio-analysis/1bPqAXwNiVcM6zjJU1Z4Cd,244667,4,-44.0,0
